KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
expected,0,8,11,42.10526315789474
have,0,1,1,050.0
exciting,0,1,1,050.0
portfolio,1,15,15,51.61290322580645
addressing,0,1,0,100.0
major,6,19,18,58.13953488372093
unmet,0,1,0,100.0
medical,7,12,15,55.88235294117647
needs,0,1,1,050.0
fortinet,2,13,8,65.21739130434783
fabric,0,0,1,000.0
ready,0,1,1,050.0
program,5,21,23,53.06122448979592
amazon,0,4,3,57.142857142857146
ftnt,1,4,6,45.45454545454545
canstar,1,0,0,100.0
change,4,1,9,35.714285714285715
investor,5,13,30,037.5
call,2,15,9,65.38461538461539
knight,2,3,4,55.55555555555556
home,1,11,6,66.66666666666667
price,0,4,1,080.0
index,0,6,0,100.0
monthly,1,6,5,58.333333333333336
appreciation,0,1,0,100.0
continues,1,3,6,040.0
slow,0,1,0,100.0
prices,3,4,9,43.75
gain,0,1,1,050.0
september,2,12,16,46.666666666666664
year,18,71,98,47.593582887700535
over,3,28,33,48.4375
accelerates,0,1,0,100.0
slightly,0,1,0,100.0
millrock,0,2,0,100.0
sojourn,0,1,0,100.0
rock,0,1,0,100.0
sampling,0,1,0,100.0
from,9,38,44,51.64835164835165
willoughby,0,1,0,100.0
project,2,14,12,57.142857142857146
golden,1,3,3,57.142857142857146
triangle,1,3,4,050.0
district,5,4,27,025.0
british,0,1,0,100.0
columbia,1,4,9,35.714285714285715
arbutus,0,1,0,100.0
presentations,0,3,0,100.0
hepdart,0,1,0,100.0
abus,0,1,0,100.0
pollo,1,2,4,42.857142857142854
loco,2,4,8,42.857142857142854
launches,4,21,19,56.81818181818182
four,0,1,2,33.333333333333336
authentic,0,0,1,000.0
platters,0,0,1,000.0
medtronic,0,0,3,000.0
telehealth,0,0,1,000.0
support,2,6,16,33.333333333333336
department,2,1,5,037.5
veterans,0,0,1,000.0
affairs,0,0,3,000.0
national,1,7,6,57.142857142857146
jumei,1,0,0,100.0
receipt,2,0,4,33.333333333333336
withdrawal,1,0,1,050.0
buyer,1,0,0,100.0
going,1,3,1,080.0
private,14,41,42,56.70103092783505
proposal,1,1,1,66.66666666666667
jmei,1,0,0,100.0
cyber,2,2,5,44.44444444444444
monday,1,3,3,57.142857142857146
deals,0,0,1,000.0
bombardier,2,6,22,26.666666666666668
notice,0,4,6,040.0
redemption,0,0,3,000.0
senior,6,20,29,47.27272727272727
notes,5,11,23,41.02564102564103
2019,2,3,4,55.55555555555556
consolidated,4,19,20,53.48837209302326
communications,5,3,8,050.0
sell,1,4,8,38.46153846153846
virginia,1,1,1,66.66666666666667
properties,5,14,23,45.23809523809524
cnsl,1,0,0,100.0
tauriga,0,0,2,000.0
sciences,0,4,6,040.0
agree,0,0,1,000.0
extension,0,4,8,33.333333333333336
existing,0,1,2,33.333333333333336
license,2,4,11,35.294117647058826
cupuacu,0,0,1,000.0
butter,0,0,1,000.0
maha,0,3,1,075.0
amends,0,0,1,000.0
terms,0,1,3,025.0
conditions,0,0,1,000.0
bonds,0,0,1,000.0
elbit,0,0,1,000.0
vision,1,4,4,55.55555555555556
systems,4,16,19,51.282051282051285
schedules,0,7,5,58.333333333333336
release,5,11,16,050.0
december,21,68,113,44.05940594059406
otcbb,0,0,3,000.0
evsnf,0,0,1,000.0
nymox,0,0,1,000.0
fexapotide,0,0,2,000.0
symposium,1,1,3,040.0
panel,0,0,3,000.0
discussion,0,0,1,000.0
american,5,19,18,57.142857142857146
urological,0,0,1,000.0
association,2,0,1,66.66666666666667
south,1,4,7,41.666666666666664
central,1,2,1,075.0
sectional,0,0,1,000.0
naples,0,0,1,000.0
nymx,0,0,2,000.0
demonstrates,3,7,11,47.61904761904762
power,5,7,15,44.44444444444444
secure,5,3,6,57.142857142857146
edge,1,0,0,100.0
processing,3,5,10,44.44444444444444
machine,1,1,2,050.0
learning,2,2,1,080.0
greengrass,1,0,0,100.0
invent,1,0,0,100.0
nxpi,1,2,0,100.0
opko,0,2,2,050.0
health,0,16,20,44.44444444444444
enrolls,0,3,4,42.857142857142854
patient,8,12,20,050.0
phase,14,44,62,48.333333333333336
study,11,36,56,45.63106796116505
opk88004,0,1,0,100.0
treat,1,3,4,050.0
benign,0,1,0,100.0
prostatic,0,1,0,100.0
hypertrophy,0,1,0,100.0
shrv,2,0,0,100.0
markets,17,28,70,39.130434782608695
gentex,1,2,2,060.0
cash,4,13,20,45.945945945945944
dividend,2,35,29,56.06060606060606
gntx,1,2,2,060.0
terraform,0,2,2,050.0
aggregate,0,0,2,000.0
offering,16,29,59,43.26923076923077
terp,0,0,1,000.0
klein,2,6,18,30.76923076923077
firm,3,13,21,43.24324324324324
reminds,3,3,14,030.0
class,4,16,33,37.735849056603776
action,3,15,32,036.0
filed,3,8,25,30.555555555555557
behalf,3,7,25,28.571428571428573
tesla,1,0,0,100.0
shareholders,5,13,20,47.36842105263158
lead,6,9,27,35.714285714285715
plaintiff,3,8,15,42.30769230769231
deadline,5,13,22,045.0
tsla,1,0,0,100.0
freddie,2,3,6,45.45454545454545
multifamily,2,2,6,040.0
aggregation,1,0,0,100.0
risk,2,0,3,040.0
transfer,1,0,0,100.0
certificates,1,0,0,100.0
series,2,6,14,36.36363636363637
kt02,1,0,0,100.0
renewal,1,1,3,040.0
million,20,83,123,45.575221238938056
cpss,0,0,1,000.0
drone,0,3,9,025.0
guarder,0,0,2,000.0
strategic,2,8,14,41.666666666666664
partnership,1,15,20,44.44444444444444
swellpro,0,0,2,000.0
china,4,2,16,27.272727272727273
manufacturing,3,2,7,41.666666666666664
drng,0,0,2,000.0
trends,0,4,3,57.142857142857146
toward,0,2,1,66.66666666666667
normal,0,3,3,050.0
becton,0,2,0,100.0
dickinson,0,2,0,100.0
cigna,0,2,0,100.0
aetna,0,2,0,100.0
enphase,0,4,1,080.0
vishay,0,2,0,100.0
intertechnology,0,2,0,100.0
emerging,0,4,4,050.0
expectations,1,8,15,037.5
analyst,1,3,2,66.66666666666667
ratings,0,2,1,66.66666666666667
srci,0,3,0,100.0
efuel,0,0,1,000.0
corp,7,15,22,050.0
posts,0,0,1,000.0
attorney,0,0,3,000.0
letter,2,1,7,030.0
income,2,6,12,040.0
other,31,51,93,46.857142857142854
efln,0,0,1,000.0
pura,0,2,3,040.0
naturals,0,1,2,33.333333333333336
clean,0,2,4,33.333333333333336
multi,2,4,7,46.15384615384615
surface,0,1,1,050.0
cleaner,0,1,1,050.0
degreaser,0,1,1,050.0
game,0,4,4,050.0
changer,0,4,2,66.66666666666667
removing,0,1,1,050.0
grease,0,1,1,050.0
grime,0,1,1,050.0
natural,0,2,4,33.333333333333336
photronics,0,1,3,025.0
fourth,10,37,87,35.07462686567164
fiscal,9,48,78,42.22222222222222
grants,1,2,8,27.272727272727273
fast,1,1,2,050.0
track,2,4,12,33.333333333333336
designation,2,2,4,050.0
idera,0,0,2,000.0
2125,0,0,1,000.0
combination,1,4,1,83.33333333333333
ipilimumab,0,0,1,000.0
treatment,12,13,28,47.16981132075472
refractory,1,2,3,050.0
metastatic,0,1,2,33.333333333333336
melanoma,0,0,1,000.0
idra,0,0,2,000.0
dundee,0,1,1,050.0
sustainable,0,1,1,050.0
patent,6,14,35,36.36363636363637
allowance,0,4,5,44.44444444444444
arsenic,0,1,0,100.0
sequestration,0,1,0,100.0
casmed,0,0,1,000.0
micro,0,7,11,38.888888888888886
main,0,8,10,44.44444444444444
casm,0,0,1,000.0
xcerra,0,0,2,000.0
xcra,0,0,2,000.0
actinium,0,0,3,000.0
highlights,3,18,20,51.21951219512195
presence,0,1,3,025.0
59th,0,8,8,050.0
society,0,9,8,52.94117647058823
hematology,0,9,8,52.94117647058823
evidenced,0,0,2,000.0
clinical,8,20,41,40.57971014492754
development,5,16,21,050.0
progress,2,9,14,044.0
showcasing,0,0,2,000.0
platform,2,11,20,39.39393939393939
atnm,0,0,3,000.0
chromadex,0,2,3,040.0
10th,0,8,11,42.10526315789474
cdxc,0,1,1,050.0
esperanto,0,1,0,100.0
plans,2,7,10,47.36842105263158
efficient,0,1,1,050.0
chips,0,1,0,100.0
artificial,0,2,1,66.66666666666667
intelligence,1,2,3,050.0
based,2,18,17,54.054054054054056
standard,0,1,1,050.0
public,9,15,28,46.15384615384615
disclosure,0,3,0,100.0
stealth,0,1,0,100.0
start,2,1,4,42.857142857142854
watsco,0,2,0,100.0
industrials,0,2,0,100.0
findit,0,2,0,100.0
prime,0,1,5,16.666666666666668
package,0,3,1,075.0
that,2,8,17,37.03703703703704
provides,7,17,30,44.44444444444444
members,1,2,2,060.0
benefit,2,13,11,57.69230769230769
online,0,3,4,42.857142857142854
marketing,3,14,13,56.666666666666664
tools,0,1,0,100.0
cost,0,4,4,050.0
effective,2,7,17,34.61538461538461
aviragen,0,1,1,050.0
therapeutics,15,57,72,050.0
enrollment,0,7,4,63.63636363636363
teslexivir,0,1,1,050.0
bta074,0,1,1,050.0
condyloma,0,1,1,050.0
avir,0,1,1,050.0
network,6,12,16,52.94117647058823
receives,3,16,20,48.717948717948715
another,0,2,2,050.0
office,2,2,4,050.0
expanding,0,1,1,050.0
patents,1,0,3,025.0
shaw,1,3,0,100.0
documents,0,1,0,100.0
star,1,6,2,77.77777777777777
bulk,1,6,1,087.5
general,2,4,12,33.333333333333336
castle,0,5,2,71.42857142857143
transaction,0,12,6,66.66666666666667
vmware,0,9,5,64.28571428571429
barclays,0,0,1,000.0
telecommunications,0,0,1,000.0
grey,1,0,0,100.0
cloak,1,0,0,100.0
tech,1,8,7,56.25
hiring,1,2,1,075.0
stephen,1,1,2,050.0
goldberg,1,0,0,100.0
chief,5,6,12,47.82608695652174
officer,5,6,11,050.0
nanovibronix,0,0,2,000.0
successful,0,0,2,000.0
interim,0,10,12,45.45454545454545
painshield,0,0,2,000.0
8482,1,6,5,58.333333333333336
patients,3,15,29,38.297872340425535
trigeminal,0,0,1,000.0
neuralgia,0,0,1,000.0
represents,0,0,3,000.0
potential,2,6,3,72.72727272727273
alternative,0,0,2,000.0
opioid,0,1,2,33.333333333333336
surgical,0,2,2,050.0
interventions,0,0,1,000.0
blucora,0,0,3,000.0
amendment,0,2,6,025.0
pricing,2,11,24,35.13513513513514
bcor,0,0,3,000.0
inuvo,1,0,1,050.0
increases,2,4,6,050.0
nearly,1,1,1,66.66666666666667
inuv,1,0,1,050.0
modern,1,3,0,100.0
summit,0,5,3,062.5
miami,0,2,1,66.66666666666667
show,0,2,3,040.0
during,4,15,13,59.375
week,0,2,2,050.0
basel,0,3,0,100.0
agenda,0,1,0,100.0
welcoming,0,1,0,100.0
industry,1,7,20,28.571428571428573
brands,1,7,11,42.10526315789474
agencies,0,2,0,100.0
spotlighting,0,1,0,100.0
union,1,3,2,66.66666666666667
creative,0,1,0,100.0
innovation,6,7,7,065.0
proofpoint,0,1,1,050.0
acquire,5,16,31,40.38461538461539
weblife,0,1,1,050.0
extends,1,3,3,57.142857142857146
protection,0,5,3,062.5
capabilities,0,3,3,050.0
enterprise,0,3,2,060.0
users,0,2,1,66.66666666666667
personal,0,1,1,050.0
email,1,1,1,66.66666666666667
pfpt,0,1,1,050.0
2018,34,153,231,44.73684210526316
summary,0,2,2,050.0
schlumberger,0,2,2,050.0
grainger,0,1,1,050.0
acadia,0,1,1,050.0
realty,1,6,10,41.1764705882353
trust,5,17,25,46.808510638297875
keryx,0,1,1,050.0
biopharmaceuticals,0,1,1,050.0
gannett,0,1,1,050.0
fundamental,1,2,4,42.857142857142854
performance,1,5,11,35.294117647058826
indications,0,2,4,33.333333333333336
constellation,0,1,3,025.0
software,4,11,16,48.38709677419355
vela,0,1,0,100.0
completes,16,26,46,47.72727272727273
higher,0,1,0,100.0
education,1,3,3,57.142857142857146
fame,0,1,0,100.0
toronto,6,27,31,51.5625
virtu,1,3,1,080.0
additional,7,13,17,54.054054054054056
repayment,0,2,0,100.0
commences,0,2,4,33.333333333333336
repricing,0,2,0,100.0
virt,1,3,1,080.0
saturn,2,5,5,58.333333333333336
asset,3,6,17,34.61538461538461
operational,2,6,11,42.10526315789474
oaktree,0,0,2,000.0
specialty,0,0,5,000.0
lending,0,0,2,000.0
corporation,8,32,46,46.51162790697674
ocsl,0,0,2,000.0
cancer,3,11,17,45.16129032258065
genetics,0,5,6,45.45454545454545
indian,0,1,1,050.0
cooperative,0,1,1,050.0
oncology,1,7,6,57.142857142857146
icon,0,1,1,050.0
collaborate,0,2,2,050.0
reduce,0,1,2,33.333333333333336
alarmingly,0,1,1,050.0
increasing,1,1,4,33.333333333333336
mortality,0,1,2,33.333333333333336
rates,0,1,1,050.0
cgix,0,1,2,33.333333333333336
positioning,2,11,10,56.52173913043478
within,5,16,25,45.65217391304348
cummins,0,2,0,100.0
macy,0,2,0,100.0
twenty,0,2,0,100.0
century,0,2,1,66.66666666666667
amicus,1,5,3,66.66666666666667
crocs,0,2,0,100.0
rand,0,2,0,100.0
logistics,1,4,1,83.33333333333333
vital,0,1,1,050.0
signs,4,9,10,56.52173913043478
monitoring,0,13,10,56.52173913043478
devices,0,16,11,59.25925925925926
size,0,1,2,33.333333333333336
2027,0,5,5,050.0
cagr,1,7,6,57.142857142857146
insights,1,5,5,54.54545454545455
monica,1,0,1,050.0
nuvamsa,1,0,1,050.0
susan,2,1,2,060.0
white,1,0,1,050.0
join,2,2,4,050.0
nations,1,0,1,050.0
institute,1,1,5,28.571428571428573
recent,0,6,8,42.857142857142854
shows,0,6,4,060.0
aflac,0,2,0,100.0
biogen,0,2,0,100.0
oasis,0,2,0,100.0
petroleum,5,8,6,68.42105263157895
twilio,0,2,0,100.0
neothetics,0,2,0,100.0
mcdonald,0,2,0,100.0
influences,0,5,2,71.42857142857143
renewed,1,5,3,66.66666666666667
outlook,2,7,5,64.28571428571429
drivers,2,20,15,59.45945945945946
phasebio,0,0,2,000.0
funds,0,2,3,040.0
advancement,0,0,4,000.0
orphan,1,0,2,33.333333333333336
cardiovascular,0,0,2,000.0
pipeline,2,1,9,025.0
avid,0,1,3,025.0
bioservices,0,1,1,050.0
appointment,3,14,16,51.515151515151516
tracy,0,1,2,33.333333333333336
kinjerski,0,1,1,050.0
vice,0,4,5,44.44444444444444
business,5,24,33,46.774193548387096
operations,0,1,5,16.666666666666668
cdmo,0,1,1,050.0
inovio,0,2,4,33.333333333333336
further,3,6,18,33.333333333333336
3100,0,1,2,33.333333333333336
data,7,35,35,54.54545454545455
reveals,0,1,1,050.0
immune,0,1,3,025.0
correlates,0,1,1,050.0
biomarker,0,1,1,050.0
signatures,0,1,1,050.0
predicted,0,1,1,050.0
efficacy,0,2,4,33.333333333333336
melinta,0,2,0,100.0
infectious,0,2,0,100.0
disease,4,12,22,42.10526315789474
medicines,0,2,0,100.0
mlnt,0,2,0,100.0
osisko,0,3,5,037.5
intersects,1,8,11,045.0
metres,2,16,20,47.36842105263158
lynx,0,3,2,060.0
graphite,1,2,3,050.0
excellent,0,1,1,050.0
electrochemical,0,1,1,050.0
characteristics,0,1,1,050.0
drivescale,2,2,0,100.0
asia,2,2,1,080.0
growing,1,3,1,080.0
demand,1,4,1,83.33333333333333
composable,1,1,0,100.0
infrastructure,1,3,2,66.66666666666667
former,3,2,5,050.0
japan,3,4,3,070.0
unlocking,1,1,0,100.0
promise,1,1,0,100.0
omvs,0,3,2,060.0
robotic,0,5,3,062.5
assistance,0,3,2,060.0
second,5,15,25,44.44444444444444
robot,0,1,1,050.0
deployment,0,1,2,33.333333333333336
romeo,0,1,1,050.0
peapack,0,2,0,100.0
gladstone,0,2,2,050.0
christian,0,1,0,100.0
gaudioso,0,1,0,100.0
underwriter,0,1,0,100.0
filing,2,5,8,46.666666666666664
preliminary,0,2,16,11.11111111111111
short,0,0,3,000.0
form,2,1,10,23.076923076923077
prospectus,0,0,1,000.0
related,0,1,4,020.0
flow,2,1,8,27.272727272727273
through,2,6,4,66.66666666666667
landec,0,2,1,66.66666666666667
reiterates,0,1,1,050.0
guidance,5,9,18,43.75
lowers,0,1,1,050.0
impact,0,1,2,33.333333333333336
extreme,0,1,1,050.0
weather,0,1,1,050.0
events,0,1,2,33.333333333333336
lndc,0,2,1,66.66666666666667
common,8,27,29,54.6875
ibtx,3,0,2,060.0
ansira,0,2,0,100.0
drive,0,3,5,037.5
customer,2,8,7,58.8235294117647
loyalty,0,3,1,075.0
engagement,0,2,0,100.0
amsc,0,2,2,050.0
orders,0,6,11,35.294117647058826
tautachrome,0,0,2,000.0
date,0,2,6,025.0
details,0,2,3,040.0
cryptotoken,0,0,2,000.0
sale,3,14,20,45.945945945945944
ttcm,0,0,2,000.0
spring,1,1,1,66.66666666666667
savings,1,1,0,100.0
domination,1,1,0,100.0
spirit,1,3,0,100.0
airlines,2,16,3,85.71428571428571
eleven,1,1,0,100.0
routes,1,1,0,100.0
season,2,3,2,71.42857142857143
hottest,1,1,0,100.0
destinations,1,2,0,100.0
save,1,2,0,100.0
10h56,0,0,2,000.0
signe,0,0,2,000.0
avec,0,0,2,000.0
cemair,0,0,2,000.0
commande,0,0,2,000.0
deux,0,0,2,000.0
nouveaux,0,0,2,000.0
avions,0,0,2,000.0
q400,0,0,2,000.0
expiration,1,1,3,040.0
tender,1,1,10,16.666666666666668
offer,2,5,13,035.0
renewable,1,7,5,61.53846153846154
participate,3,11,18,43.75
roth,1,1,1,66.66666666666667
industrial,1,7,12,040.0
cleantech,1,1,0,100.0
regi,1,1,0,100.0
total,3,4,14,33.333333333333336
increased,0,3,4,42.857142857142854
card,3,1,1,080.0
link,2,6,4,66.66666666666667
offers,0,1,2,33.333333333333336
vertical,0,1,2,33.333333333333336
pediapharm,0,1,1,050.0
death,1,2,1,075.0
director,2,9,9,055.0
relocation,0,0,1,000.0
corporate,5,2,10,41.1764705882353
headquarters,0,2,3,040.0
midtown,0,0,1,000.0
manhattan,0,0,1,000.0
workday,0,1,1,050.0
subscription,0,1,3,025.0
churchill,0,1,0,100.0
downs,0,1,0,100.0
incorporated,1,2,0,100.0
fish,0,1,0,100.0
aristocrat,0,1,0,100.0
chdn,0,1,0,100.0
cesca,0,3,2,060.0
kool,0,3,2,060.0
aeglea,0,1,0,100.0
biotherapeutics,2,7,6,060.0
doses,1,1,1,66.66666666666667
pediatric,0,3,2,060.0
arginase,0,1,0,100.0
deficiency,0,1,2,33.333333333333336
pegzilarginase,0,1,0,100.0
aeb1102,0,1,0,100.0
agle,0,1,0,100.0
univest,0,0,1,000.0
uvsp,0,0,1,000.0
semtech,0,2,3,040.0
smtc,0,2,3,040.0
newtek,0,0,1,000.0
rated,0,0,1,000.0
small,0,0,5,000.0
loan,0,6,15,28.571428571428573
securitization,0,2,5,28.571428571428573
newt,0,0,1,000.0
mobicard,0,2,2,050.0
commencement,2,7,4,69.23076923076923
trading,2,1,4,42.857142857142854
strategy,2,4,2,075.0
cryptocurrency,1,5,7,46.15384615384615
mobicoin,0,2,2,050.0
broadcasting,0,0,1,000.0
subsidiary,7,11,24,42.857142857142854
azteca,0,0,1,000.0
america,3,5,12,040.0
hchc,0,0,1,000.0
trius,0,1,0,100.0
shareholder,3,7,6,062.5
turbo,1,0,0,100.0
announced,2,5,12,36.8421052631579
initial,2,3,3,062.5
millisecond,1,0,0,100.0
create,1,7,10,44.44444444444444
cloud,2,7,3,075.0
connected,1,6,7,050.0
embedded,0,0,1,000.0
microchip,1,3,10,28.571428571428573
expanded,0,0,4,000.0
offerings,0,1,2,33.333333333333336
mchp,0,0,1,000.0
adamis,0,0,1,000.0
submits,0,1,4,020.0
prior,1,2,2,060.0
approval,5,10,20,42.857142857142854
supplement,0,2,2,050.0
version,0,0,1,000.0
symjepi,0,0,1,000.0
admp,0,0,1,000.0
focus,3,8,8,57.89473684210526
drives,2,10,19,38.70967741935484
metrics,1,6,6,53.84615384615385
gulf,1,0,1,050.0
coast,0,2,2,050.0
cowen,0,0,5,000.0
science,1,9,9,52.63157894736842
negotiations,1,5,7,46.15384615384615
nanoderm,0,4,7,36.36363636363637
distribution,4,10,15,48.275862068965516
three,6,13,20,48.717948717948715
countries,0,4,7,36.36363636363637
seropositive,0,4,7,36.36363636363637
aids,0,4,7,36.36363636363637
etst,0,5,7,41.666666666666664
advantex,0,0,1,000.0
canadian,4,17,24,46.666666666666664
great,2,5,6,53.84615384615385
lakes,2,5,5,58.333333333333336
changes,2,12,20,41.1764705882353
gldd,2,5,5,58.333333333333336
nine,0,7,6,53.84615384615385
months,4,18,21,51.16279069767442
declares,1,10,13,45.833333333333336
charters,0,7,7,050.0
bring,1,7,10,44.44444444444444
fleet,1,9,11,47.61904761904762
long,1,10,8,57.89473684210526
term,2,15,17,050.0
contracts,1,12,8,61.904761904761905
