KEYWORDS, BEST,GOOD,BAD,EACH WORD ,BETA %%
independent,3,6,8,52.94117647058823,0.93
inspectors,0,0,1,000.0,100
election,0,3,1,075.0,100
certify,0,0,1,000.0,100
meeting,1,16,23,042.5,1.01
resonant,1,0,3,025.0,0.9
expands,3,9,19,38.70967741935484,-1.0
fabless,0,0,1,000.0,100
filter,0,0,1,000.0,100
system,2,7,14,39.130434782608695,0.57
signing,1,1,4,33.333333333333336,-1.0
first,13,46,53,52.67857142857143,1.16
foundry,0,0,1,000.0,100
backend,0,0,1,000.0,100
packaging,0,0,1,000.0,100
partner,3,14,16,51.515151515151516,0.85
calliduscloud,0,2,0,100.0,1.09
president,3,10,11,54.166666666666664,0.83
present,10,97,97,52.450980392156865,1.49
credit,7,19,12,68.42105263157895,2.29
suisse,0,3,0,100.0,100
21st,0,1,0,100.0,100
technology,4,34,54,41.30434782608695,1.06
media,2,7,7,56.25,0.79
telecom,0,1,0,100.0,100
conference,17,105,112,52.136752136752136,1.49
nasdaq,106,441,589,48.151408450704224,0.54
cald,0,2,0,100.0,1.09
reminder,3,8,20,35.483870967741936,1.4
alert,3,10,13,050.0,0.78
efabless,0,1,1,050.0,100
risc,0,4,0,100.0,100
workshop,0,2,1,66.66666666666667,100
talk,0,1,0,100.0,100
creating,0,3,1,075.0,-1.0
mixed,0,2,0,100.0,100
signal,0,2,1,66.66666666666667,-0.28
asic,0,2,0,100.0,100
using,0,3,1,075.0,100
open,1,7,7,53.333333333333336,1.04
source,0,2,1,66.66666666666667,100
implementation,0,1,0,100.0,100
toolset,0,3,0,100.0,2.14
will,2,3,6,45.45454545454545,0.97
describe,0,1,0,100.0,100
designing,0,1,0,100.0,100
verifying,0,1,0,100.0,100
implementing,0,1,0,100.0,100
perseus,0,1,0,100.0,100
limited,1,6,9,43.75,-0.28
australian,0,1,5,16.666666666666668,24.12
tangelo,1,6,7,050.0,1.41
games,0,1,1,050.0,100
lender,0,0,1,000.0,100
amend,0,0,1,000.0,100
facility,6,13,12,61.29032258064516,1.62
covenants,0,0,1,000.0,100
reduced,0,0,1,000.0,100
maturity,0,0,1,000.0,100
extended,0,5,5,050.0,-1.0
cisco,0,5,3,062.5,100
event,1,9,15,040.0,0.67
community,0,4,2,66.66666666666667,0.72
hadoop,0,0,1,000.0,100
billion,5,23,27,50.90909090909091,1.91
2022,1,1,5,28.571428571428573,1.44
zion,0,2,5,28.571428571428573,0.58
research,7,46,68,43.80165289256198,-1.0
medigus,0,1,0,100.0,100
electric,1,2,2,060.0,1.48
scooter,1,0,0,100.0,100
motorcycle,1,0,0,100.0,100
analysis,4,20,18,57.142857142857146,0.83
forecast,1,3,0,100.0,1.44
mtbc,0,0,2,000.0,100
largest,0,1,5,16.666666666666668,100
client,0,1,2,33.333333333333336,100
provider,1,3,6,040.0,1.83
leading,1,3,12,025.0,0.93
growth,15,89,112,48.148148148148145,-1.0
skinvisible,0,1,0,100.0,100
proposed,1,6,12,36.8421052631579,1.63
merger,2,2,4,050.0,1.73
quoin,0,1,0,100.0,100
pharmaceuticals,14,37,71,41.80327868852459,1.82
expected,0,8,11,42.10526315789474,0.34
have,0,1,1,050.0,100
exciting,0,1,1,050.0,100
portfolio,1,15,15,51.61290322580645,0.84
addressing,0,1,0,100.0,100
major,6,19,18,58.13953488372093,-1.0
unmet,0,1,0,100.0,100
medical,7,12,15,55.88235294117647,24.12
needs,0,1,1,050.0,100
fortinet,2,13,8,65.21739130434783,0.85
fabric,0,0,1,000.0,100
ready,0,1,1,050.0,100
program,5,21,23,53.06122448979592,1.39
amazon,0,4,3,57.142857142857146,0.84
ftnt,1,4,6,45.45454545454545,0.85
canstar,1,0,0,100.0,100
change,4,1,9,35.714285714285715,0.97
investor,5,13,30,037.5,-1.63
call,2,15,9,65.38461538461539,1.45
knight,2,3,4,55.55555555555556,0.95
home,1,11,6,66.66666666666667,-1.0
price,0,4,1,080.0,0.68
index,0,6,0,100.0,-1.0
monthly,1,6,5,58.333333333333336,2.13
appreciation,0,1,0,100.0,100
continues,1,3,6,040.0,1.28
slow,0,1,0,100.0,100
prices,3,4,9,43.75,1.66
gain,0,1,1,050.0,1.0
september,2,12,16,46.666666666666664,0.94
year,18,71,98,47.593582887700535,1.44
over,3,28,33,48.4375,1.44
accelerates,0,1,0,100.0,100
slightly,0,1,0,100.0,100
millrock,0,2,0,100.0,100
sojourn,0,1,0,100.0,100
rock,0,1,0,100.0,100
sampling,0,1,0,100.0,100
from,9,38,44,51.64835164835165,4.63
willoughby,0,1,0,100.0,100
project,2,14,12,57.142857142857146,0.96
golden,1,3,3,57.142857142857146,1.24
triangle,1,3,4,050.0,0.84
district,5,4,27,025.0,-1.0
british,0,1,0,100.0,100
columbia,1,4,9,35.714285714285715,0.03
arbutus,0,1,0,100.0,100
presentations,0,3,0,100.0,100
hepdart,0,1,0,100.0,100
abus,0,1,0,100.0,100
pollo,1,2,4,42.857142857142854,1.1
loco,2,4,8,42.857142857142854,1.1
launches,4,21,19,56.81818181818182,-1.0
four,0,1,2,33.333333333333336,-0.47
authentic,0,0,1,000.0,100
platters,0,0,1,000.0,100
medtronic,0,0,3,000.0,0.92
telehealth,0,0,1,000.0,100
support,2,6,16,33.333333333333336,1.33
department,2,1,5,037.5,-1.37
veterans,0,0,1,000.0,100
affairs,0,0,3,000.0,1.92
national,1,7,6,57.142857142857146,0.54
jumei,1,0,0,100.0,100
receipt,2,0,4,33.333333333333336,1.43
withdrawal,1,0,1,050.0,100
buyer,1,0,0,100.0,100
going,1,3,1,080.0,100
private,14,41,42,56.70103092783505,1.67
proposal,1,1,1,66.66666666666667,0.76
jmei,1,0,0,100.0,100
cyber,2,2,5,44.44444444444444,0.54
monday,1,3,3,57.142857142857146,1.96
deals,0,0,1,000.0,100
bombardier,2,6,22,26.666666666666668,1.32
notice,0,4,6,040.0,1.15
redemption,0,0,3,000.0,100
senior,6,20,29,47.27272727272727,0.49
notes,5,11,23,41.02564102564103,-1.0
2019,2,3,4,55.55555555555556,0.57
consolidated,4,19,20,53.48837209302326,0.83
communications,5,3,8,050.0,-1.0
sell,1,4,8,38.46153846153846,2.29
virginia,1,1,1,66.66666666666667,1.32
properties,5,14,23,45.23809523809524,1.73
cnsl,1,0,0,100.0,100
tauriga,0,0,2,000.0,100
sciences,0,4,6,040.0,0.99
agree,0,0,1,000.0,100
extension,0,4,8,33.333333333333336,4.63
existing,0,1,2,33.333333333333336,0.86
license,2,4,11,35.294117647058826,0.75
cupuacu,0,0,1,000.0,100
butter,0,0,1,000.0,100
maha,0,3,1,075.0,0.84
amends,0,0,1,000.0,100
terms,0,1,3,025.0,24.12
conditions,0,0,1,000.0,100
bonds,0,0,1,000.0,100
elbit,0,0,1,000.0,100
vision,1,4,4,55.55555555555556,0.26
systems,4,16,19,51.282051282051285,1.61
schedules,0,7,5,58.333333333333336,0.94
release,5,11,16,050.0,0.26
december,21,68,113,44.05940594059406,0.2
otcbb,0,0,3,000.0,100
evsnf,0,0,1,000.0,100
nymox,0,0,1,000.0,100
fexapotide,0,0,2,000.0,1.48
symposium,1,1,3,040.0,0.34
panel,0,0,3,000.0,1.44
discussion,0,0,1,000.0,100
american,5,19,18,57.142857142857146,-1.0
urological,0,0,1,000.0,100
association,2,0,1,66.66666666666667,-1.0
south,1,4,7,41.666666666666664,-1.0
central,1,2,1,075.0,0.8
sectional,0,0,1,000.0,100
naples,0,0,1,000.0,100
nymx,0,0,2,000.0,1.48
demonstrates,3,7,11,47.61904761904762,1.2
power,5,7,15,44.44444444444444,1.16
secure,5,3,6,57.142857142857146,-1.0
edge,1,0,0,100.0,100
processing,3,5,10,44.44444444444444,0.26
machine,1,1,2,050.0,0.2
learning,2,2,1,080.0,-0.7
greengrass,1,0,0,100.0,100
invent,1,0,0,100.0,100
nxpi,1,2,0,100.0,0.73
opko,0,2,2,050.0,2.28
health,0,16,20,44.44444444444444,2.28
enrolls,0,3,4,42.857142857142854,2.28
patient,8,12,20,050.0,2.28
phase,14,44,62,48.333333333333336,4.63
study,11,36,56,45.63106796116505,4.63
opk88004,0,1,0,100.0,100
treat,1,3,4,050.0,1.87
benign,0,1,0,100.0,100
prostatic,0,1,0,100.0,100
hypertrophy,0,1,0,100.0,100
shrv,2,0,0,100.0,100
markets,17,28,70,39.130434782608695,-0.28
gentex,1,2,2,060.0,1.19
cash,4,13,20,45.945945945945944,1.91
dividend,2,35,29,56.06060606060606,1.02
gntx,1,2,2,060.0,1.19
terraform,0,2,2,050.0,0.84
aggregate,0,0,2,000.0,0.49
offering,16,29,59,43.26923076923077,-1.0
terp,0,0,1,000.0,100
klein,2,6,18,30.76923076923077,0.81
firm,3,13,21,43.24324324324324,1.16
reminds,3,3,14,030.0,1.16
class,4,16,33,37.735849056603776,0.81
action,3,15,32,036.0,0.81
filed,3,8,25,30.555555555555557,0.81
behalf,3,7,25,28.571428571428573,1.73
tesla,1,0,0,100.0,100
shareholders,5,13,20,47.36842105263158,0.81
lead,6,9,27,35.714285714285715,0.81
plaintiff,3,8,15,42.30769230769231,0.81
deadline,5,13,22,045.0,1.16
tsla,1,0,0,100.0,100
freddie,2,3,6,45.45454545454545,1.66
multifamily,2,2,6,040.0,1.66
aggregation,1,0,0,100.0,100
risk,2,0,3,040.0,100
transfer,1,0,0,100.0,100
certificates,1,0,0,100.0,100
series,2,6,14,36.36363636363637,-0.33
kt02,1,0,0,100.0,100
renewal,1,1,3,040.0,100
million,20,83,123,45.575221238938056,0.34
cpss,0,0,1,000.0,100
drone,0,3,9,025.0,2.87
guarder,0,0,2,000.0,100
strategic,2,8,14,41.666666666666664,1.79
partnership,1,15,20,44.44444444444444,0.27
swellpro,0,0,2,000.0,100
china,4,2,16,27.272727272727273,1.68
manufacturing,3,2,7,41.666666666666664,1.76
drng,0,0,2,000.0,100
trends,0,4,3,57.142857142857146,0.46
toward,0,2,1,66.66666666666667,0.46
normal,0,3,3,050.0,0.46
becton,0,2,0,100.0,100
dickinson,0,2,0,100.0,100
cigna,0,2,0,100.0,100
aetna,0,2,0,100.0,100
enphase,0,4,1,080.0,100
vishay,0,2,0,100.0,100
intertechnology,0,2,0,100.0,100
emerging,0,4,4,050.0,0.46
expectations,1,8,15,037.5,-0.72
analyst,1,3,2,66.66666666666667,0.46
ratings,0,2,1,66.66666666666667,0.46
srci,0,3,0,100.0,1.67
efuel,0,0,1,000.0,100
corp,7,15,22,050.0,-1.0
posts,0,0,1,000.0,100
attorney,0,0,3,000.0,-2.39
letter,2,1,7,030.0,-3.59
income,2,6,12,040.0,1.66
other,31,51,93,46.857142857142854,-1.0
efln,0,0,1,000.0,100
pura,0,2,3,040.0,100
naturals,0,1,2,33.333333333333336,100
clean,0,2,4,33.333333333333336,0.52
multi,2,4,7,46.15384615384615,0.34
surface,0,1,1,050.0,100
cleaner,0,1,1,050.0,100
degreaser,0,1,1,050.0,100
game,0,4,4,050.0,0.93
changer,0,4,2,66.66666666666667,2.63
removing,0,1,1,050.0,100
grease,0,1,1,050.0,100
grime,0,1,1,050.0,100
natural,0,2,4,33.333333333333336,-551.2
photronics,0,1,3,025.0,1.17
fourth,10,37,87,35.07462686567164,1.44
fiscal,9,48,78,42.22222222222222,1.61
grants,1,2,8,27.272727272727273,1.56
fast,1,1,2,050.0,-0.82
track,2,4,12,33.333333333333336,-0.82
designation,2,2,4,050.0,-0.82
idera,0,0,2,000.0,1.82
2125,0,0,1,000.0,100
combination,1,4,1,83.33333333333333,-1.0
ipilimumab,0,0,1,000.0,100
treatment,12,13,28,47.16981132075472,1.14
refractory,1,2,3,050.0,1.04
metastatic,0,1,2,33.333333333333336,-1.0
melanoma,0,0,1,000.0,100
idra,0,0,2,000.0,1.82
dundee,0,1,1,050.0,1.73
sustainable,0,1,1,050.0,1.73
patent,6,14,35,36.36363636363637,3.18
allowance,0,4,5,44.44444444444444,1.15
arsenic,0,1,0,100.0,100
sequestration,0,1,0,100.0,100
casmed,0,0,1,000.0,100
micro,0,7,11,38.888888888888886,3.25
main,0,8,10,44.44444444444444,-0.08
casm,0,0,1,000.0,100
xcerra,0,0,2,000.0,100
xcra,0,0,2,000.0,100
actinium,0,0,3,000.0,100
highlights,3,18,20,51.21951219512195,0.83
presence,0,1,3,025.0,0.54
59th,0,8,8,050.0,1.31
society,0,9,8,52.94117647058823,1.31
hematology,0,9,8,52.94117647058823,1.31
evidenced,0,0,2,000.0,100
clinical,8,20,41,40.57971014492754,4.63
development,5,16,21,050.0,1.49
progress,2,9,14,044.0,-8.1
showcasing,0,0,2,000.0,100
platform,2,11,20,39.39393939393939,-1.0
atnm,0,0,3,000.0,100
chromadex,0,2,3,040.0,100
10th,0,8,11,42.10526315789474,3.25
cdxc,0,1,1,050.0,100
esperanto,0,1,0,100.0,100
plans,2,7,10,47.36842105263158,1.54
efficient,0,1,1,050.0,-0.33
chips,0,1,0,100.0,100
artificial,0,2,1,66.66666666666667,0.9
intelligence,1,2,3,050.0,0.42
based,2,18,17,54.054054054054056,24.12
standard,0,1,1,050.0,-0.1
public,9,15,28,46.15384615384615,-1.0
disclosure,0,3,0,100.0,100
stealth,0,1,0,100.0,100
start,2,1,4,42.857142857142854,100
watsco,0,2,0,100.0,100
industrials,0,2,0,100.0,100
findit,0,2,0,100.0,100
prime,0,1,5,16.666666666666668,-0.72
package,0,3,1,075.0,0.84
that,2,8,17,37.03703703703704,-1.0
provides,7,17,30,44.44444444444444,4.14
members,1,2,2,060.0,0.9
benefit,2,13,11,57.69230769230769,4.63
online,0,3,4,42.857142857142854,100
marketing,3,14,13,56.666666666666664,0.8
tools,0,1,0,100.0,100
cost,0,4,4,050.0,4.48
effective,2,7,17,34.61538461538461,0.72
aviragen,0,1,1,050.0,100
therapeutics,15,57,72,050.0,1.26
enrollment,0,7,4,63.63636363636363,-1.0
teslexivir,0,1,1,050.0,100
bta074,0,1,1,050.0,100
condyloma,0,1,1,050.0,100
avir,0,1,1,050.0,100
network,6,12,16,52.94117647058823,-1.0
receives,3,16,20,48.717948717948715,1.87
another,0,2,2,050.0,-0.33
office,2,2,4,050.0,-1.0
expanding,0,1,1,050.0,1.44
patents,1,0,3,025.0,0.95
shaw,1,3,0,100.0,1.02
documents,0,1,0,100.0,100
star,1,6,2,77.77777777777777,2.91
bulk,1,6,1,087.5,0.34
general,2,4,12,33.333333333333336,1.52
castle,0,5,2,71.42857142857143,0.16
transaction,0,12,6,66.66666666666667,0.84
vmware,0,9,5,64.28571428571429,0.42
barclays,0,0,1,000.0,100
telecommunications,0,0,1,000.0,100
grey,1,0,0,100.0,100
cloak,1,0,0,100.0,100
tech,1,8,7,56.25,0.94
hiring,1,2,1,075.0,1.7
stephen,1,1,2,050.0,100
goldberg,1,0,0,100.0,100
chief,5,6,12,47.82608695652174,0.79
officer,5,6,11,050.0,0.79
nanovibronix,0,0,2,000.0,100
successful,0,0,2,000.0,1.85
interim,0,10,12,45.45454545454545,1.79
painshield,0,0,2,000.0,100
8482,1,6,5,58.333333333333336,0.97
patients,3,15,29,38.297872340425535,0.92
trigeminal,0,0,1,000.0,100
neuralgia,0,0,1,000.0,100
represents,0,0,3,000.0,0.72
potential,2,6,3,72.72727272727273,1.02
alternative,0,0,2,000.0,100
opioid,0,1,2,33.333333333333336,100
surgical,0,2,2,050.0,-0.65
interventions,0,0,1,000.0,100
blucora,0,0,3,000.0,-0.59
amendment,0,2,6,025.0,0.56
pricing,2,11,24,35.13513513513514,-1.0
bcor,0,0,3,000.0,-0.59
inuvo,1,0,1,050.0,100
increases,2,4,6,050.0,1.91
nearly,1,1,1,66.66666666666667,0.75
inuv,1,0,1,050.0,100
modern,1,3,0,100.0,100
summit,0,5,3,062.5,4.63
miami,0,2,1,66.66666666666667,100
show,0,2,3,040.0,0.54
during,4,15,13,59.375,0.24
week,0,2,2,050.0,0.92
basel,0,3,0,100.0,100
agenda,0,1,0,100.0,100
welcoming,0,1,0,100.0,100
industry,1,7,20,28.571428571428573,0.42
brands,1,7,11,42.10526315789474,-2.39
agencies,0,2,0,100.0,100
spotlighting,0,1,0,100.0,100
union,1,3,2,66.66666666666667,1.43
creative,0,1,0,100.0,100
innovation,6,7,7,065.0,1.76
proofpoint,0,1,1,050.0,100
acquire,5,16,31,40.38461538461539,0.34
weblife,0,1,1,050.0,100
extends,1,3,3,57.142857142857146,1.17
protection,0,5,3,062.5,1.47
capabilities,0,3,3,050.0,100
enterprise,0,3,2,060.0,-1.0
users,0,2,1,66.66666666666667,-1.0
personal,0,1,1,050.0,100
email,1,1,1,66.66666666666667,100
pfpt,0,1,1,050.0,100
2018,34,153,231,44.73684210526316,2.13
summary,0,2,2,050.0,2.21
schlumberger,0,2,2,050.0,100
grainger,0,1,1,050.0,100
acadia,0,1,1,050.0,100
realty,1,6,10,41.1764705882353,1.16
trust,5,17,25,46.808510638297875,1.24
keryx,0,1,1,050.0,100
biopharmaceuticals,0,1,1,050.0,100
gannett,0,1,1,050.0,100
fundamental,1,2,4,42.857142857142854,0.96
performance,1,5,11,35.294117647058826,2.87
indications,0,2,4,33.333333333333336,2.21
constellation,0,1,3,025.0,1.51
software,4,11,16,48.38709677419355,0.83
vela,0,1,0,100.0,100
completes,16,26,46,47.72727272727273,1.22
higher,0,1,0,100.0,100
education,1,3,3,57.142857142857146,-1.0
fame,0,1,0,100.0,100
toronto,6,27,31,51.5625,1.79
virtu,1,3,1,080.0,-1.0
additional,7,13,17,54.054054054054056,-1.0
repayment,0,2,0,100.0,100
commences,0,2,4,33.333333333333336,100
repricing,0,2,0,100.0,100
virt,1,3,1,080.0,-1.0
saturn,2,5,5,58.333333333333336,0.78
asset,3,6,17,34.61538461538461,-0.28
operational,2,6,11,42.10526315789474,1.57
oaktree,0,0,2,000.0,100
specialty,0,0,5,000.0,100
lending,0,0,2,000.0,100
corporation,8,32,46,46.51162790697674,0.84
ocsl,0,0,2,000.0,100
cancer,3,11,17,45.16129032258065,0.29
genetics,0,5,6,45.45454545454545,4.24
indian,0,1,1,050.0,100
cooperative,0,1,1,050.0,100
oncology,1,7,6,57.142857142857146,1.24
icon,0,1,1,050.0,100
collaborate,0,2,2,050.0,0.73
reduce,0,1,2,33.333333333333336,100
alarmingly,0,1,1,050.0,100
increasing,1,1,4,33.333333333333336,1.43
mortality,0,1,2,33.333333333333336,100
rates,0,1,1,050.0,100
cgix,0,1,2,33.333333333333336,1.44
positioning,2,11,10,56.52173913043478,0.83
within,5,16,25,45.65217391304348,0.83
cummins,0,2,0,100.0,100
macy,0,2,0,100.0,100
twenty,0,2,0,100.0,100
century,0,2,1,66.66666666666667,0.46
amicus,1,5,3,66.66666666666667,1.26
crocs,0,2,0,100.0,100
rand,0,2,0,100.0,100
logistics,1,4,1,83.33333333333333,1.05
vital,0,1,1,050.0,100
signs,4,9,10,56.52173913043478,1.83
monitoring,0,13,10,56.52173913043478,0.73
devices,0,16,11,59.25925925925926,-1.0
size,0,1,2,33.333333333333336,0.85
2027,0,5,5,050.0,0.24
cagr,1,7,6,57.142857142857146,1.44
insights,1,5,5,54.54545454545455,0.24
monica,1,0,1,050.0,100
nuvamsa,1,0,1,050.0,100
susan,2,1,2,060.0,-3.02
white,1,0,1,050.0,100
join,2,2,4,050.0,1.84
nations,1,0,1,050.0,100
institute,1,1,5,28.571428571428573,-1.0
recent,0,6,8,42.857142857142854,-8.1
shows,0,6,4,060.0,1.24
aflac,0,2,0,100.0,100
biogen,0,2,0,100.0,100
oasis,0,2,0,100.0,100
petroleum,5,8,6,68.42105263157895,1.9
twilio,0,2,0,100.0,100
neothetics,0,2,0,100.0,100
mcdonald,0,2,0,100.0,100
influences,0,5,2,71.42857142857143,1.24
renewed,1,5,3,66.66666666666667,1.24
outlook,2,7,5,64.28571428571429,0.97
drivers,2,20,15,59.45945945945946,-1.0
phasebio,0,0,2,000.0,100
funds,0,2,3,040.0,1.21
advancement,0,0,4,000.0,100
orphan,1,0,2,33.333333333333336,1.43
cardiovascular,0,0,2,000.0,100
pipeline,2,1,9,025.0,100
avid,0,1,3,025.0,100
bioservices,0,1,1,050.0,100
appointment,3,14,16,51.515151515151516,1.49
tracy,0,1,2,33.333333333333336,-0.39
kinjerski,0,1,1,050.0,100
vice,0,4,5,44.44444444444444,-1.0
business,5,24,33,46.774193548387096,1.73
operations,0,1,5,16.666666666666668,0.34
cdmo,0,1,1,050.0,100
inovio,0,2,4,33.333333333333336,1.68
further,3,6,18,33.333333333333336,1.86
3100,0,1,2,33.333333333333336,1.68
data,7,35,35,54.54545454545455,1.57
reveals,0,1,1,050.0,100
immune,0,1,3,025.0,2.21
correlates,0,1,1,050.0,100
biomarker,0,1,1,050.0,100
signatures,0,1,1,050.0,100
predicted,0,1,1,050.0,100
efficacy,0,2,4,33.333333333333336,-0.4
melinta,0,2,0,100.0,100
infectious,0,2,0,100.0,100
disease,4,12,22,42.10526315789474,1.26
medicines,0,2,0,100.0,100
mlnt,0,2,0,100.0,100
osisko,0,3,5,037.5,1.48
intersects,1,8,11,045.0,1.76
metres,2,16,20,47.36842105263158,1.76
lynx,0,3,2,060.0,1.76
graphite,1,2,3,050.0,1.04
excellent,0,1,1,050.0,100
electrochemical,0,1,1,050.0,100
characteristics,0,1,1,050.0,100
drivescale,2,2,0,100.0,100
asia,2,2,1,080.0,-1.0
growing,1,3,1,080.0,1.31
demand,1,4,1,83.33333333333333,100
composable,1,1,0,100.0,100
infrastructure,1,3,2,66.66666666666667,100
former,3,2,5,050.0,1.92
japan,3,4,3,070.0,1.26
unlocking,1,1,0,100.0,100
promise,1,1,0,100.0,100
omvs,0,3,2,060.0,100
robotic,0,5,3,062.5,100
assistance,0,3,2,060.0,100
second,5,15,25,44.44444444444444,1.79
robot,0,1,1,050.0,100
deployment,0,1,2,33.333333333333336,1.92
romeo,0,1,1,050.0,100
peapack,0,2,0,100.0,100
gladstone,0,2,2,050.0,100
christian,0,1,0,100.0,100
gaudioso,0,1,0,100.0,100
underwriter,0,1,0,100.0,100
filing,2,5,8,46.666666666666664,3.81
preliminary,0,2,16,11.11111111111111,1.6
short,0,0,3,000.0,-1.0
