BlackRock,0,1,2,33.333333333333336
Monday,1,0,2,33.333333333333336
deals,0,0,1,000.0
Bombardier,2,6,20,28.571428571428573
Notice,0,3,4,42.857142857142854
Redemption,0,0,3,000.0
Senior,3,10,18,41.935483870967744
Notes,4,6,12,45.45454545454545
2019,0,3,2,060.0
Consolidated,1,16,12,58.62068965517241
Communications,1,1,7,22.22222222222222
Sell,2,2,4,050.0
Virginia,1,0,0,100.0
Properties,3,9,14,46.15384615384615
CNSL,1,0,0,100.0
Alibaba,0,0,1,000.0
BABA,0,0,1,000.0
Offering,12,21,44,42.857142857142854
Weatherford,0,0,1,000.0
Plans,2,5,9,43.75
Divest,0,0,1,000.0
Assets,0,0,1,000.0
Ease,0,0,1,000.0
Load,0,0,1,000.0
Tauriga,0,0,2,000.0
Sciences,0,3,3,050.0
Agree,0,0,1,000.0
Extension,0,2,4,33.333333333333336
Existing,0,0,1,000.0
License,1,2,4,42.857142857142854
Cupuacu,0,0,1,000.0
Butter,0,0,1,000.0
Apple,0,1,1,050.0
Higher,0,2,0,100.0
Well,1,1,1,66.66666666666667
December,15,57,95,43.11377245508982
Must,0,1,0,100.0
Chart,0,1,0,100.0
Dividend,2,32,26,56.666666666666664
Picks,0,0,1,000.0
Maha,0,0,1,000.0
amends,0,0,1,000.0
terms,0,0,1,000.0
conditions,0,0,1,000.0
bonds,0,0,1,000.0
Elbit,0,0,1,000.0
Vision,0,0,1,000.0
Systems,3,5,11,42.10526315789474
Schedules,0,1,1,050.0
Release,1,4,4,55.55555555555556
OTCBB,1,0,3,025.0
EVSNF,0,0,1,000.0
Shell,0,0,2,000.0
Resume,0,0,1,000.0
Full,2,2,7,36.36363636363637
Cash,3,10,10,56.52173913043478
Payment,2,2,9,30.76923076923077
dips,0,0,1,000.0
increased,0,2,2,050.0
drilling,0,0,1,000.0
Opec,0,0,1,000.0
cuts,0,1,2,33.333333333333336
support,0,0,3,000.0
global,0,0,3,000.0
markets,0,0,1,000.0
Fundamental,1,6,8,46.666666666666664
Daily,1,4,5,050.0
Worries,1,0,0,100.0
Increasing,1,1,1,66.66666666666667
Russia,1,0,0,100.0
Weighing,1,0,0,100.0
Nymox,0,0,1,000.0
Fexapotide,0,0,1,000.0
Symposium,1,1,1,66.66666666666667
Panel,0,0,2,000.0
Discussion,0,0,1,000.0
American,2,15,14,54.83870967741935
Urological,0,0,1,000.0
Association,0,0,1,000.0
South,1,3,4,050.0
Central,1,1,1,66.66666666666667
Sectional,0,0,1,000.0
Naples,0,0,1,000.0
NYMX,0,0,1,000.0
Demonstrates,1,1,1,66.66666666666667
Power,3,4,5,58.333333333333336
Secure,2,1,2,060.0
Edge,1,0,0,100.0
Processing,3,4,6,53.84615384615385
Machine,1,1,0,100.0
Learning,1,2,0,100.0
Greengrass,1,0,0,100.0
Invent,1,0,0,100.0
NXPI,1,1,0,100.0
OPKO,0,1,0,100.0
Health,0,9,11,045.0
Enrolls,0,2,2,050.0
Patient,4,9,9,59.09090909090909
Phase,10,23,34,49.25373134328358
Study,6,17,31,42.592592592592595
OPK88004,0,1,0,100.0
Treat,0,1,0,100.0
Benign,0,1,0,100.0
Prostatic,0,1,0,100.0
Hypertrophy,0,1,0,100.0
SHRV,2,0,0,100.0
Markets,15,33,55,46.601941747572816
Gentex,0,0,1,000.0
GNTX,0,0,1,000.0
TerraForm,0,0,1,000.0
Aggregate,0,0,1,000.0
TERP,0,0,1,000.0
Klein,2,3,12,29.41176470588235
Firm,2,5,10,41.1764705882353
Reminds,1,0,6,14.285714285714286
Class,2,4,13,31.57894736842105
Action,1,4,13,27.77777777777778
Filed,1,3,7,36.36363636363637
Behalf,1,3,7,36.36363636363637
Tesla,1,0,0,100.0
Shareholders,2,10,10,54.54545454545455
Lead,4,6,13,43.47826086956522
Plaintiff,1,5,8,42.857142857142854
Deadline,1,8,11,045.0
TSLA,1,0,0,100.0
Freddie,2,2,4,050.0
Multifamily,2,2,4,050.0
Aggregation,1,0,0,100.0
Risk,2,0,3,040.0
Transfer,1,0,0,100.0
Certificates,1,0,0,100.0
Series,2,5,7,050.0
KT02,1,0,0,100.0
Renewal,1,1,3,040.0
Million,6,40,58,44.23076923076923
CPSS,0,0,1,000.0
Drone,0,0,7,000.0
Guarder,0,0,2,000.0
Strategic,2,5,7,050.0
Partnership,0,5,9,35.714285714285715
Swellpro,0,0,2,000.0
China,3,1,7,36.36363636363637
Manufacturing,2,1,3,050.0
DRNG,0,0,2,000.0
Trends,0,2,1,66.66666666666667
Toward,0,2,0,100.0
Normal,0,3,2,060.0
Becton,0,2,0,100.0
Dickinson,0,2,0,100.0
Cigna,0,2,0,100.0
Aetna,0,2,3,040.0
Enphase,0,4,1,080.0
Vishay,0,2,0,100.0
Intertechnology,0,2,0,100.0
Emerging,0,2,1,66.66666666666667
Expectations,0,7,6,53.84615384615385
Analyst,1,3,1,080.0
Ratings,0,2,0,100.0
SRCI,0,2,0,100.0
eFUEL,0,0,1,000.0
Corp,4,9,10,56.52173913043478
Posts,0,0,1,000.0
Attorney,0,0,1,000.0
Letter,1,1,1,66.66666666666667
Increase,2,5,7,050.0
Income,1,0,2,33.333333333333336
EFLN,0,0,1,000.0
Pura,0,2,3,040.0
Naturals,0,1,2,33.333333333333336
Clean,2,6,5,61.53846153846154
Multi,1,3,3,57.142857142857146
Surface,0,1,1,050.0
Cleaner,0,1,1,050.0
Degreaser,0,1,1,050.0
Game,0,1,1,050.0
Changer,0,1,1,050.0
Removing,0,1,1,050.0
Grease,0,1,1,050.0
Grime,0,1,1,050.0
Natural,0,5,2,71.42857142857143
Photronics,0,1,1,050.0
Fourth,2,12,18,43.75
Fiscal,2,29,55,36.04651162790697
OPEC,0,0,4,000.0
Rigs,0,0,2,000.0
Pressure,0,0,2,000.0
Crude,0,0,2,000.0
Futures,1,0,4,020.0
Grants,0,1,4,020.0
Fast,0,0,1,000.0
Track,0,3,9,025.0
Designation,0,1,3,025.0
Idera,0,0,1,000.0
2125,0,0,1,000.0
Combination,1,0,1,050.0
Ipilimumab,0,0,1,000.0
Treatment,8,11,15,55.88235294117647
Refractory,0,0,1,000.0
Metastatic,0,0,1,000.0
Melanoma,0,0,1,000.0
IDRA,0,0,1,000.0
Dundee,0,1,0,100.0
Sustainable,0,1,0,100.0
Patent,5,11,20,44.44444444444444
Allowance,0,3,3,050.0
Arsenic,0,1,0,100.0
Sequestration,0,1,0,100.0
Highs,0,1,0,100.0
Powell,0,1,0,100.0
Heads,0,1,0,100.0
Capitol,0,1,0,100.0
Hill,0,1,1,050.0
2018,13,60,92,44.24242424242424
Social,0,0,1,000.0
Security,4,7,12,47.82608695652174
COLA,0,0,1,000.0
Really,0,0,1,000.0
Just,1,0,1,050.0
CASMED,0,0,1,000.0
Micro,0,6,9,040.0
Main,0,6,8,42.857142857142854
CASM,0,0,1,000.0
Late,0,0,1,000.0
Nvidia,1,0,1,050.0
Corporation,5,19,22,52.17391304347826
NVDA,0,0,1,000.0
Xcerra,0,0,2,000.0
XCRA,0,0,2,000.0
Actinium,0,0,3,000.0
Highlights,1,15,14,53.333333333333336
Strong,4,4,6,57.142857142857146
Presence,0,0,2,000.0
59th,0,6,7,46.15384615384615
Society,0,7,7,050.0
Hematology,0,7,7,050.0
Evidenced,0,0,2,000.0
Clinical,6,11,23,042.5
Development,5,5,7,58.8235294117647
Progress,2,4,6,050.0
Showcasing,0,0,2,000.0
Platform,2,8,16,38.46153846153846
ATNM,0,0,3,000.0
ChromaDex,0,2,3,040.0
10th,0,6,9,040.0
CDXC,0,1,1,050.0
Esperanto,0,1,0,100.0
Efficient,0,1,0,100.0
Chips,0,1,0,100.0
Artificial,0,1,0,100.0
Intelligence,1,1,0,100.0
based,0,10,6,062.5
open,0,1,0,100.0
standard,0,1,0,100.0
public,0,1,0,100.0
technology,0,4,3,57.142857142857146
disclosure,0,1,0,100.0
from,3,22,21,54.34782608695652
stealth,0,1,0,100.0
start,1,1,2,050.0
extends,0,0,2,000.0
losing,0,0,2,000.0
streak,0,0,2,000.0
third,0,0,2,000.0
uncertainty,0,0,2,000.0
over,0,9,21,030.0
meeting,0,0,2,000.0
Watsco,0,2,0,100.0
Industrials,0,2,0,100.0
Findit,0,2,0,100.0
Prime,0,1,1,050.0
Package,0,1,0,100.0
that,1,5,6,050.0
Provides,5,11,11,59.25925925925926
Members,0,2,0,100.0
Benefit,0,10,8,55.55555555555556
Online,0,3,4,42.857142857142854
Marketing,3,8,6,64.70588235294117
Tools,0,1,0,100.0
Cost,0,2,2,050.0
Effective,1,3,7,36.36363636363637
What,0,1,8,11.11111111111111
Makes,2,7,9,050.0
Nordson,0,0,1,000.0
NDSN,0,0,1,000.0
Solid,1,3,6,040.0
Choice,0,2,2,050.0
Aviragen,0,1,1,050.0
Therapeutics,7,33,42,48.78048780487805
Enrollment,0,2,3,040.0
Teslexivir,0,1,1,050.0
BTA074,0,1,1,050.0
Condyloma,0,1,1,050.0
AVIR,0,1,1,050.0
Boston,1,9,14,41.666666666666664
Scientific,0,1,4,020.0
loses,0,1,1,050.0
value,0,3,8,27.272727272727273
prior,0,1,1,050.0
announcing,0,1,1,050.0
delay,0,1,1,050.0
Network,5,8,10,56.52173913043478
Receives,1,8,12,42.857142857142854
another,0,0,1,000.0
Office,0,0,3,000.0
Expanding,0,0,1,000.0
Portfolio,0,0,5,000.0
Patents,0,0,1,000.0
Shaw,0,1,0,100.0
Disclosure,0,2,0,100.0
Documents,0,1,0,100.0
Star,1,3,2,66.66666666666667
Bulk,0,1,0,100.0
General,1,4,7,41.666666666666664
Castle,0,3,1,075.0
Transaction,0,9,4,69.23076923076923
VMware,0,6,4,060.0
Barclays,0,0,1,000.0
Telecommunications,0,0,1,000.0
Grey,1,0,0,100.0
Cloak,1,0,0,100.0
Tech,1,3,6,040.0
Hiring,1,0,0,100.0
Stephen,1,1,2,050.0
Goldberg,1,0,0,100.0
Chief,3,1,5,44.44444444444444
Officer,3,1,4,050.0
Survey,0,0,2,000.0
Suggests,0,0,2,000.0
Lackluster,0,0,1,000.0
Demand,1,4,2,71.42857142857143
AAPL,0,0,1,000.0
iPhones,0,0,1,000.0
NanoVibronix,0,0,2,000.0
Successful,0,0,1,000.0
Interim,0,5,9,35.714285714285715
PainShield,0,0,2,000.0
8482,0,2,3,040.0
Patients,2,7,17,34.61538461538461
Trigeminal,0,0,1,000.0
Neuralgia,0,0,1,000.0
Represents,0,0,1,000.0
Potential,0,2,2,050.0
Alternative,0,0,2,000.0
Opioid,0,1,2,33.333333333333336
Surgical,0,0,1,000.0
Interventions,0,0,1,000.0
Blucora,0,0,2,000.0
Amendment,0,2,5,28.571428571428573
Pricing,2,8,17,37.03703703703704
BCOR,0,0,2,000.0
Inuvo,1,0,1,050.0
Increases,1,2,3,050.0
Nearly,1,0,1,050.0
INUV,1,0,1,050.0
UPDATE,1,2,0,100.0
Modern,1,3,0,100.0
Summit,0,4,1,080.0
Miami,0,2,1,66.66666666666667
Show,0,2,1,66.66666666666667
During,2,5,5,58.333333333333336
Week,0,2,2,050.0
Basel,0,3,0,100.0
announces,3,5,11,42.10526315789474
agenda,0,1,0,100.0
welcoming,0,1,0,100.0
industry,0,2,2,050.0
brands,0,1,0,100.0
agencies,0,1,0,100.0
spotlighting,0,1,0,100.0
union,0,1,0,100.0
creative,0,1,0,100.0
innovation,0,2,0,100.0
Proofpoint,0,1,1,050.0
into,2,6,6,57.142857142857146
Acquire,2,7,8,52.94117647058823
Weblife,0,1,1,050.0
Extends,1,2,2,060.0
Protection,0,3,1,075.0
Capabilities,0,3,2,060.0
Enterprise,0,2,1,66.66666666666667
Users,0,1,1,050.0
Personal,0,1,1,050.0
Email,1,1,1,66.66666666666667
PFPT,0,1,1,050.0
Summary,0,2,1,66.66666666666667
Schlumberger,0,2,2,050.0
Grainger,0,1,1,050.0
Acadia,0,1,1,050.0
Realty,0,1,4,020.0
Trust,3,13,13,55.172413793103445
Keryx,0,1,1,050.0
Biopharmaceuticals,0,1,1,050.0
Gannett,0,1,1,050.0
Performance,1,2,2,060.0
Indications,0,2,1,66.66666666666667
Constellation,0,1,0,100.0
Softwares,0,1,0,100.0
Vela,0,1,0,100.0
Completes,10,12,24,47.82608695652174
Education,0,3,2,060.0
Software,3,5,8,050.0
FAME,0,1,0,100.0
Toronto,4,12,14,53.333333333333336
Virtu,0,2,0,100.0
Additional,6,9,7,68.18181818181819
Repayment,0,2,0,100.0
Commences,0,2,4,33.333333333333336
Repricing,0,2,0,100.0
VIRT,0,2,0,100.0
Saturn,1,3,5,44.44444444444444
Asset,0,1,6,14.285714285714286
Operational,1,3,7,36.36363636363637
Oaktree,0,0,2,000.0
Specialty,0,0,5,000.0
Lending,0,0,2,000.0
OCSL,0,0,2,000.0
Cancer,3,8,8,57.89473684210526
Genetics,0,4,5,44.44444444444444
Indian,0,1,1,050.0
Cooperative,0,1,1,050.0
Oncology,1,3,1,080.0
ICON,0,1,1,050.0
Collaborate,0,1,2,33.333333333333336
Reduce,0,1,2,33.333333333333336
Alarmingly,0,1,1,050.0
Mortality,0,1,1,050.0
Rates,0,1,1,050.0
CGIX,0,1,1,050.0
Positioning,0,9,8,52.94117647058823
within,3,13,17,48.484848484848484
Cummins,0,2,0,100.0
Macy,0,2,0,100.0
Twenty,0,2,0,100.0
Century,0,2,0,100.0
Amicus,0,4,2,66.66666666666667
Crocs,0,2,0,100.0
Rand,0,2,0,100.0
Logistics,0,3,0,100.0
Vital,0,1,1,050.0
Signs,1,8,3,075.0
Monitoring,0,8,8,050.0
Devices,0,5,6,45.45454545454545
Size,0,1,1,050.0
2027,0,5,4,55.55555555555556
CAGR,0,2,4,33.333333333333336
Insights,0,3,3,050.0
Monica,1,0,1,050.0
Nuvamsa,1,0,1,050.0
Susan,1,0,2,33.333333333333336
White,1,0,1,050.0
Join,1,1,3,040.0
Nations,1,0,1,050.0
Institute,1,0,3,025.0
Recent,0,4,3,57.142857142857146
Shows,0,4,0,100.0
Aflac,0,2,0,100.0
Biogen,0,2,0,100.0
Oasis,0,2,0,100.0
Petroleum,4,5,4,69.23076923076923
Twilio,0,2,0,100.0
Neothetics,0,2,0,100.0
McDonald,0,2,0,100.0
Influences,0,3,0,100.0
Renewed,0,3,1,075.0
Outlook,1,3,2,66.66666666666667
Drivers,1,12,7,065.0
PhaseBio,0,0,2,000.0
Funds,0,0,3,000.0
Advancement,0,0,4,000.0
Orphan,0,0,2,000.0
Cardiovascular,0,0,2,000.0
Pipeline,2,1,7,030.0
Avid,0,1,2,33.333333333333336
Bioservices,0,1,1,050.0
Appointment,2,11,4,76.47058823529412
Tracy,0,1,1,050.0
Kinjerski,0,1,1,050.0
Vice,0,3,3,050.0
Business,3,13,18,47.05882352941177
Operations,0,1,2,33.333333333333336
PPHM,1,1,1,66.66666666666667
Inovios,0,1,1,050.0
Further,0,6,17,26.08695652173913
3100,0,1,1,050.0
Data,5,22,21,56.25
Reveals,0,1,1,050.0
Immune,0,1,1,050.0
Correlates,0,1,1,050.0
Biomarker,0,1,1,050.0
Signatures,0,1,1,050.0
That,0,2,4,33.333333333333336
Predicted,0,1,1,050.0
Efficacy,0,1,2,33.333333333333336
Melinta,0,2,0,100.0
Infectious,0,2,0,100.0
Disease,2,10,15,44.44444444444444
Medicines,0,2,0,100.0
MLNT,0,2,0,100.0
Since,3,5,5,61.53846153846154
Last,1,5,6,050.0
Earnings,3,16,17,52.77777777777778
Report,6,8,19,42.42424242424242
Osisko,0,2,2,050.0
Intersects,1,5,7,46.15384615384615
Metres,2,11,13,050.0
Lynx,0,1,0,100.0
Sportswear,0,1,1,050.0
COLM,0,1,1,050.0
SRGs,0,1,1,050.0
Graphite,1,2,1,075.0
Excellent,0,1,1,050.0
Electrochemical,0,1,1,050.0
Characteristics,0,1,1,050.0
DriveScale,2,2,0,100.0
Asia,2,2,0,100.0
Growing,1,1,0,100.0
Composable,1,1,0,100.0
Infrastructure,1,3,2,66.66666666666667
Former,3,1,4,050.0
Japan,2,3,0,100.0
Unlocking,1,1,0,100.0
Promise,1,1,0,100.0
OMVS,0,3,2,060.0
Robotic,0,5,3,062.5
Assistance,0,3,2,060.0
Second,3,12,10,060.0
Robot,0,1,1,050.0
Deployment,0,1,1,050.0
Romeo,0,1,1,050.0
Peapack,0,2,0,100.0
Gladstone,0,2,2,050.0
Christian,0,1,0,100.0
Gaudioso,0,1,0,100.0
Underwriter,0,1,0,100.0
Filing,1,1,3,040.0
Preliminary,0,0,6,000.0
Short,1,0,2,33.333333333333336
Form,1,1,4,33.333333333333336
Prospectus,0,0,1,000.0
related,0,0,1,000.0
proposed,0,0,1,000.0
Flow,2,1,2,060.0
Through,1,1,3,040.0
Landec,0,1,1,050.0
Reiterates,0,1,1,050.0
Guidance,5,6,6,64.70588235294117
Lowers,0,1,1,050.0
Impact,0,1,1,050.0
Extreme,0,1,1,050.0
Weather,0,1,1,050.0
Events,0,1,2,33.333333333333336
LNDC,0,1,1,050.0
Common,7,21,20,58.333333333333336
IBTX,2,0,2,050.0
Ansira,0,2,0,100.0
Drive,0,3,1,075.0
Customer,0,5,3,062.5
Loyalty,0,3,1,075.0
Engagement,0,2,0,100.0
